text,label
The stock market is showing strong bullish signals today,1
Company earnings exceeded analyst expectations by 20%,1
The Federal Reserve's decision boosted market confidence,1
Dividend yields remain attractive for long-term investors,1
The IPO was oversubscribed by institutional investors,1
Strong cash flow generation supports future investments,1
Market share expansion in key segments continues,1
Innovation pipeline shows promising new products,1
Record quarterly profits announced today,1
Revenue growth accelerated this quarter,1
Market volatility is causing concern among investors,0
Revenue growth slowed significantly this quarter,0
Liquidity issues are affecting the company's operations,0
Credit rating downgrade impacted bond prices negatively,0
Supply chain disruptions are affecting profitability,0
Debt levels are becoming unsustainable,0
Regulatory changes pose significant risks,0
Company announced major layoffs and restructuring,0
Stock price plummeted after earnings miss,0
Bankruptcy filing expected next week,0
